mlbId,status,title,price,imageStatus,format,path,exists,width,height,issue
"MLB4051985849","pending-review","Kit 10x Módulos Esp32 Ttgo T-call Sim800l + Antena (novo)","R$ 1.259,00","verified","webp","public/products/MLB4051985849/optimized/main.webp","yes","500","500",""
"MLB4051985849","pending-review","Kit 10x Módulos Esp32 Ttgo T-call Sim800l + Antena (novo)","R$ 1.259,00","verified","jpg","public/products/MLB4051985849/optimized/main.jpg","yes","500","500",""
"MLB3939451361","published","Módulo De Comunicação Ttgo T-call, Sim800l Lilygo","R$ 141,90","verified","avif","public/products/MLB3939451361/optimized/main.avif","yes","500","466",""
"MLB3939451361","published","Módulo De Comunicação Ttgo T-call, Sim800l Lilygo","R$ 141,90","verified","webp","public/products/MLB3939451361/optimized/main.webp","yes","500","466",""
"MLB3939451361","published","Módulo De Comunicação Ttgo T-call, Sim800l Lilygo","R$ 141,90","verified","jpg","public/products/MLB3939451361/optimized/main.jpg","yes","500","466",""
"MLB4669505143","pending-review","50x Varistor 14k 250vac (s14d391 / 14d391k250vac) Uso Geral","R$ 110,00","pending-review","avif","public/products/MLB4669505143/optimized/main.avif","no","","",""
"MLB4669505143","pending-review","50x Varistor 14k 250vac (s14d391 / 14d391k250vac) Uso Geral","R$ 110,00","pending-review","webp","public/products/MLB4669505143/optimized/main.webp","no","","",""
"MLB4669505143","pending-review","50x Varistor 14k 250vac (s14d391 / 14d391k250vac) Uso Geral","R$ 110,00","pending-review","jpg","public/products/MLB4669505143/optimized/main.jpg","no","","",""
"MLB3939446645","published","Contator Trifásico Elitek 32a 220v 3 Polos Modelo Ecp32a10m","R$ 83,90","verified","avif","public/products/MLB3939446645/optimized/main.avif","yes","495","500",""
"MLB3939446645","published","Contator Trifásico Elitek 32a 220v 3 Polos Modelo Ecp32a10m","R$ 83,90","verified","webp","public/products/MLB3939446645/optimized/main.webp","yes","495","500",""
"MLB3939446645","published","Contator Trifásico Elitek 32a 220v 3 Polos Modelo Ecp32a10m","R$ 83,90","verified","jpg","public/products/MLB3939446645/optimized/main.jpg","yes","495","500",""
"MLB3948176139","published","Kit 50 Conectores Fendido 16mm Split Bolt Cobre","R$ 199,80","verified","avif","public/products/MLB3948176139/optimized/main.avif","yes","500","435",""
"MLB3948176139","published","Kit 50 Conectores Fendido 16mm Split Bolt Cobre","R$ 199,80","verified","webp","public/products/MLB3948176139/optimized/main.webp","yes","500","435",""
"MLB3948176139","published","Kit 50 Conectores Fendido 16mm Split Bolt Cobre","R$ 199,80","verified","jpg","public/products/MLB3948176139/optimized/main.jpg","yes","500","435",""
"MLB5272662416","published","Contator Hs Automação Trifásico 4011 40a 3p +1na+1nf 220v","R$ 75,90","verified","avif","public/products/MLB5272662416/optimized/main.avif","yes","365","500",""
"MLB5272662416","published","Contator Hs Automação Trifásico 4011 40a 3p +1na+1nf 220v","R$ 75,90","verified","webp","public/products/MLB5272662416/optimized/main.webp","yes","365","500",""
"MLB5272662416","published","Contator Hs Automação Trifásico 4011 40a 3p +1na+1nf 220v","R$ 75,90","verified","jpg","public/products/MLB5272662416/optimized/main.jpg","yes","365","500",""
"MLB4669463663","published","10x Mini Fonte Chaveada Hi-link Hlk-pm01 5v / 3w","R$ 298,00","verified","avif","public/products/MLB4669463663/optimized/main.avif","yes","500","436",""
"MLB4669463663","published","10x Mini Fonte Chaveada Hi-link Hlk-pm01 5v / 3w","R$ 298,00","verified","webp","public/products/MLB4669463663/optimized/main.webp","yes","500","436",""
"MLB4669463663","published","10x Mini Fonte Chaveada Hi-link Hlk-pm01 5v / 3w","R$ 298,00","verified","jpg","public/products/MLB4669463663/optimized/main.jpg","yes","500","436",""
"MLB4669478861","published","40x Chave Micro Switch Kw1-103 15a 125vac / 16a 250vac Preto","R$ 214,00","verified","avif","public/products/MLB4669478861/optimized/main.avif","yes","490","500",""
"MLB4669478861","published","40x Chave Micro Switch Kw1-103 15a 125vac / 16a 250vac Preto","R$ 214,00","verified","webp","public/products/MLB4669478861/optimized/main.webp","yes","490","500",""
"MLB4669478861","published","40x Chave Micro Switch Kw1-103 15a 125vac / 16a 250vac Preto","R$ 214,00","verified","jpg","public/products/MLB4669478861/optimized/main.jpg","yes","490","500",""
"MLB4669476077","published","Mini Fonte Chaveada Hi-link Hlk-pm01 5v / 3w","R$ 298,00","verified","avif","public/products/MLB4669476077/optimized/main.avif","yes","500","436",""
"MLB4669476077","published","Mini Fonte Chaveada Hi-link Hlk-pm01 5v / 3w","R$ 298,00","verified","webp","public/products/MLB4669476077/optimized/main.webp","yes","500","436",""
"MLB4669476077","published","Mini Fonte Chaveada Hi-link Hlk-pm01 5v / 3w","R$ 298,00","verified","jpg","public/products/MLB4669476077/optimized/main.jpg","yes","500","436",""
"MLB5265377782","published","Conector Split Bolt 16mm² Intelli Cobre Eletrolítico Alta Condutibilidade","R$ 199,80","verified","avif","public/products/MLB5265377782/optimized/main.avif","yes","338","500",""
"MLB5265377782","published","Conector Split Bolt 16mm² Intelli Cobre Eletrolítico Alta Condutibilidade","R$ 199,80","verified","webp","public/products/MLB5265377782/optimized/main.webp","yes","338","500",""
"MLB5265377782","published","Conector Split Bolt 16mm² Intelli Cobre Eletrolítico Alta Condutibilidade","R$ 199,80","verified","jpg","public/products/MLB5265377782/optimized/main.jpg","yes","338","500",""
"MLB3963960643","published","10x Módulo Gps Ublox Gy-gps6mv2 Para Arduino, Drone E Esp","R$ 360,90","verified","avif","public/products/MLB3963960643/optimized/main.avif","yes","500","466",""
"MLB3963960643","published","10x Módulo Gps Ublox Gy-gps6mv2 Para Arduino, Drone E Esp","R$ 360,90","verified","webp","public/products/MLB3963960643/optimized/main.webp","yes","500","466",""
"MLB3963960643","published","10x Módulo Gps Ublox Gy-gps6mv2 Para Arduino, Drone E Esp","R$ 360,90","verified","jpg","public/products/MLB3963960643/optimized/main.jpg","yes","500","466",""
"MLB3957971855","published","Kit Com 100 Prensa Cabos Pg9 Cinza - Vedação Ip68","R$ 78,90","verified","avif","public/products/MLB3957971855/optimized/main.avif","yes","500","490",""
"MLB3957971855","published","Kit Com 100 Prensa Cabos Pg9 Cinza - Vedação Ip68","R$ 78,90","verified","webp","public/products/MLB3957971855/optimized/main.webp","yes","500","490",""
"MLB3957971855","published","Kit Com 100 Prensa Cabos Pg9 Cinza - Vedação Ip68","R$ 78,90","verified","jpg","public/products/MLB3957971855/optimized/main.jpg","yes","500","490",""
"MLB4832454317","published","Mini Fonte Chaveada Hi-link Hlk-pm01 5v / 3w","R$ 98,00","verified","avif","public/products/MLB4832454317/optimized/main.avif","yes","500","436",""
"MLB4832454317","published","Mini Fonte Chaveada Hi-link Hlk-pm01 5v / 3w","R$ 98,00","verified","webp","public/products/MLB4832454317/optimized/main.webp","yes","500","436",""
